doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
Jan 2025 V1 Online Reduced,https://www.stzuminus.com/wp-content/uploads/2025/01/jan-2025-v1-online-reduced.pdf,Stz'uminus First Nation,"2025, Jan",Historical public archive document entry for: Jan 2025 V1 Online Reduced,stzuminus,first-nation,public-record
March 2025 V1 Online,https://www.stzuminus.com/wp-content/uploads/2025/02/march-2025-v1-online.pdf,Stz'uminus First Nation,"2025, Feb",Historical public archive document entry for: March 2025 V1 Online,stzuminus,first-nation,public-record
April 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/03/april-2025-online.pdf,Stz'uminus First Nation,"2025, Mar",Historical public archive document entry for: April 2025 Online,stzuminus,first-nation,public-record
May 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/04/may-2025-online.pdf,Stz'uminus First Nation,"2025, Apr",Historical public archive document entry for: May 2025 Online,stzuminus,first-nation,public-record
Job Ad Janitor,https://www.stzuminus.com/wp-content/uploads/2025/05/Job-Ad-Janitor.pdf,Stz'uminus First Nation,"2025, May",Historical public archive document entry for: Job Ad Janitor,stzuminus,first-nation,job-notice
Council Newsletter 2025 Final V3,https://www.stzuminus.com/wp-content/uploads/2025/05/council-newsletter-2025-final-v3.pdf,Stz'uminus First Nation,"2025, May",Historical public archive document entry for: Council Newsletter 2025 Final V3,stzuminus,first-nation,newsletter
June 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/06/June-2025-online.pdf,Stz'uminus First Nation,"2025, Jun",Historical public archive document entry for: June 2025 Online,stzuminus,first-nation,public-record
Job Ad Sheyeetun Coordinator,https://www.stzuminus.com/wp-content/uploads/2025/07/Job-Ad-Sheyeetun-Coordinator.pdf,Stz'uminus First Nation,"2025, Jul",Historical public archive document entry for: Job Ad Sheyeetun Coordinator,stzuminus,first-nation,job-notice
Aug 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/07/aug-2025-online.pdf,Stz'uminus First Nation,"2025, Jul",Historical public archive document entry for: Aug 2025 Online,stzuminus,first-nation,public-record
July 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/07/july-2025-online.pdf,Stz'uminus First Nation,"2025, Jul",Historical public archive document entry for: July 2025 Online,stzuminus,first-nation,public-record
